MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindSpeed9am,Humidity,RainToday,RainTomorrow
16.8,22.8,9,2.8,0.3,7,88,1,0
13.6,27.4,1,2.8,8,6,77,0,0
14.5,24.2,0,6.8,5.9,11,76,0,1
12.4,19.9,16.2,5.4,5.6,7,75,1,0
10.4,20.9,0,4,8.9,15,65,0,0
9.1,23.1,0,5.8,9.6,17,66,0,0
8.9,26,0,5,10.7,7,74,0,1
14.5,24.2,4.4,6.6,5.9,9,95,1,1
12.6,18.2,11,3.2,0.4,13,81,1,0
8.6,24.2,0.2,2.8,12.7,11,63,0,0
10.8,25.2,0,5.6,12.6,7,69,0,0
11.2,26.1,0,7.2,12.6,7,71,0,0
12.1,24.1,0,7.4,10.2,9,64,0,0
10.8,25.8,0,6.8,11.7,7,72,0,0
11.4,27.1,0,5.6,12.1,6,69,0,0
12,28.9,0,7.2,8.2,2,78,0,1
16.3,24.8,1.8,7.8,3.8,4,88,1,1
12.7,28.6,6.6,3.2,8.6,5,78,1,0
12.7,25.1,0,7.8,12.4,20,57,0,0
12,23.8,0,10.4,12.4,15,54,0,0
11.5,25.9,0,5.2,10.2,9,70,0,0
13,28.2,0,5,11.6,4,74,0,0
11.7,27.6,0,7.8,8.1,5,74,0,0
14.8,17.3,0,7.6,0.8,13,74,0,1
7.7,18.4,10.4,5.2,12,24,58,1,0
4.4,21.8,0,6.2,12.1,15,60,0,0
7.4,24.4,0,6.2,11.6,7,65,0,0
8.3,27.3,0,5.6,10.1,6,78,0,0
10.1,28.2,0,6,7.3,6,72,0,0
12,27.6,0,6,11,7,69,0,0
12.9,31.8,0,6,11.3,6,76,0,0
10.8,29.2,0,8.4,7.5,5,56,0,1
9.5,27.4,3,4.8,11.5,6,79,1,0
12.1,27.8,0,5,11.5,7,66,0,0
12.5,31.7,0,6.6,11.2,6,74,0,0
13.9,34.7,0,6.4,8.5,11,50,0,0
13.3,31.7,0.2,7.8,11,6,80,0,0
13.2,33.1,0,8.6,9.7,7,91,0,0
12.3,33.8,0,7.2,11.3,9,57,0,0
13.8,35.2,0,6.4,11.2,7,47,0,0
11.3,32.3,0,9.4,11.4,4,44,0,0
11.7,30.2,0,7.8,11.2,9,73,0,0
12.5,29.9,0,5.8,10.7,0,76,0,0
15.1,26.2,0,9,9.8,4,59,0,0
11.5,29.3,0,5.2,8,0,76,0,0
13,14.8,0,8.2,0,9,77,0,0
11.6,19.6,0,2.8,1.6,6,71,0,0
12.8,24.9,0,2.4,6.2,6,76,0,0
15.5,22.4,0.6,4.8,1.9,6,89,0,1
13.1,17.4,6.4,2.8,0,11,94,1,1
12.6,20.2,19.8,2.6,9.1,17,76,1,0
4.4,18.3,0,4.6,9.6,7,80,0,0
4.4,18.2,0,3.6,11,7,78,0,0
7.1,18.5,0,3.4,10,9,90,0,0
4.2,18.9,0,6.4,10.8,6,60,0,0
9.6,18.8,0,6.4,10,19,54,0,0
3.5,21.8,0,6,10.3,7,72,0,0
5.3,23.3,0,3.6,5.6,2,90,0,1
7,14.3,2.6,9.6,9.7,26,68,1,0
0.4,18.9,0,4.8,9.6,6,77,0,0
3.2,21.4,0,3.2,10.6,7,76,0,0
5.9,21.8,0,2.8,9.3,7,70,0,0
8.1,20.5,0,3.8,7.8,11,66,0,0
6.9,18.9,0,4.2,4.1,15,68,0,0
5.6,19.5,0,2.8,6.8,9,69,0,0
7.2,22.9,0,2.2,9.5,4,82,0,0
7.1,23.4,0,3.4,10.2,2,72,0,0
6.1,24.1,0,4.6,6.1,6,75,0,1
7.1,19.8,2,3.2,7.7,13,96,1,1
5.6,18,5.2,3.8,9.3,9,70,1,0
5.4,20.7,0,3.2,10.8,7,66,0,0
6.3,19.3,0,3.4,10.6,9,65,0,0
5.3,21,0,4.6,6.3,7,77,0,0
7.9,19.7,0,3.2,8.3,17,58,0,0
8.4,16.1,0,3,4.9,13,69,0,0
8.1,18.7,0,4.4,7.1,11,66,0,0
2.4,20.6,0,2.8,10.1,9,77,0,0
5.6,18.9,0,3.8,8,13,79,0,0
7.5,19,0,4,6.8,0,74,0,0
2.5,21.2,0,2,7.9,7,82,0,0
5,20.9,0,2,8.9,0,84,0,0
3.8,21.7,0.2,2.8,6.5,2,99,0,0
7.9,18.7,0,5.8,5.8,26,68,0,1
4.3,11.3,7.2,4.4,5.6,26,75,1,0
-2.1,13.8,0.2,1.8,9.5,0,69,0,0
-1.8,14.8,0,1.4,7,2,80,0,0
3.8,13.8,0,2.8,0.8,6,67,0,0
2.1,17.3,0,1.6,9.2,6,81,0,0
0.5,17.1,0,4,9.4,6,74,0,0
-0.9,16.7,0,2.4,9.3,2,76,0,0
0.4,19,0,3.4,8.3,2,76,0,0
7.5,16.8,0,2.8,3,7,70,0,0
8.3,17.6,0,3.4,9.4,17,73,0,0
-0.2,18.1,0,4.4,9.4,0,80,0,0
0.1,21,0,2.2,9.2,2,78,0,0
1.5,20.9,0,2.4,9.3,2,80,0,0
8.3,17.4,0,2,1.6,6,80,0,0
9.4,19.2,0,2.2,7.7,4,73,0,0
1.3,19,0,2.2,9.4,7,87,0,0
2.2,18.6,0,2,9.2,5,84,0,0
-0.4,17.9,0,2.4,8.7,2,80,0,1
4.5,16,1.8,3,4.3,9,88,1,0
7.9,12.3,1,1.8,1.7,30,68,0,0
4.3,14.1,0.8,1.6,8.8,13,71,0,0
-2.7,18.1,0,2.2,9.3,0,85,0,0
0.3,17,0,2.2,5.6,6,99,0,0
3.8,17.4,0,2.6,7.3,2,81,0,0
2.4,14.7,0,2.6,9.2,7,74,0,0
1.2,14.8,0,2.4,6.7,11,81,0,0
1.2,14.5,0,1.2,8.9,6,74,0,0
-0.3,17.5,0,1.6,8.4,6,81,0,1
4.7,18.5,3.8,2,5.1,6,99,1,1
4.9,18.1,5.2,1.2,8.5,0,93,1,0
1.4,16.8,0,1.6,8.2,0,91,0,0
2.2,17.5,0.2,1.2,8.5,7,92,0,0
-0.1,18,0,2,8.6,2,83,0,0
-0.9,18.5,0,2.2,8.9,0,84,0,0
0.6,14,0,2.2,2.7,5,99,0,0
4.6,15.7,0,1,0.6,6,85,0,0
9.8,14.4,0.8,0.6,0,9,99,0,1
10.6,15.1,3.8,0.2,2.6,9,78,1,0
7.8,15.1,0,2.2,2.7,6,84,0,0
4.4,16.7,0,1.6,9,11,74,0,0
-0.2,15.5,0,1.4,9,4,86,0,0
4.3,14.5,0,2,3,6,76,0,0
7.4,16.3,0,1.2,5,6,75,0,1
8.6,13.7,6.2,2.2,0,2,97,1,1
10.2,15,4.8,0.2,0.5,22,90,1,0
7.3,16.4,0.2,1.2,8.5,15,86,0,0
8.7,13,0.6,3.2,7.1,19,82,0,0
1,11.8,0,2.2,7.2,7,73,0,0
2.1,14.7,0,2.6,8.2,24,72,0,0
6.4,16.9,0,2.6,5.9,17,78,0,0
5.4,15.5,0,1.6,5.8,7,80,0,0
0.4,15.5,0,1,4.7,6,97,0,0
4,15.9,0,0.6,2,6,95,0,1
8.4,11.7,4.8,0.6,0,6,91,1,0
0.4,13.9,0.6,0.8,7.7,6,99,0,0
4.2,14,0,1.4,7.6,9,74,0,0
0.9,12.9,0,2,6.8,7,92,0,0
0.8,13,0,1.4,4.1,2,95,0,0
4.3,12.6,0,2,9,0,75,0,0
6.3,11.8,0,2.6,6.5,20,81,0,0
3.5,14.3,0,3.4,8.9,7,71,0,0
-1.5,14.8,0,2.2,8,6,90,0,0
1.2,16,0,1.4,6.1,6,84,0,0
0.5,15.4,0,2.4,6.4,22,53,0,1
5.3,11.7,2,3.6,5.6,33,73,1,0
6.6,13.1,0.2,2.8,8.2,31,62,0,0
-1.6,11.5,0,2.8,8.9,7,82,0,0
-3.1,12,0,1.8,3.9,4,80,0,0
-0.1,14.2,0,1.4,7,5,81,0,0
-0.6,14,0,1.2,7.1,2,86,0,0
3,11.1,0.8,1.4,0.2,0,99,0,1
2.9,9.5,16.8,1.4,6.5,0,93,1,0
-1.3,8.8,0,0.8,2.8,9,95,0,0
1.8,8.7,0,1.8,1.2,31,83,0,1
2.9,8.4,1.6,1.4,7.7,20,76,1,0
-2.6,11.1,0.2,1.4,6.5,2,87,0,0
0.5,11,0,1,0.9,0,92,0,0
2.7,16.5,0,0.6,8.9,7,93,0,0
-1.7,13.6,0,1.8,5.2,5,83,0,0
-0.9,12.8,0.2,2,1.9,6,99,0,0
-1.8,11.5,0,0.6,4.7,0,99,0,0
1.3,10.6,0,0.8,5.6,24,75,0,1
2.4,11.6,1.2,2.2,8.1,15,71,1,0
-1.1,11,0.2,1.8,0,0,92,0,1
2.3,11.6,19.2,1.8,7.5,26,78,1,0
-2.2,11.6,0,1.4,9.2,2,68,0,0
-3.5,11.2,0,1.6,7.7,6,76,0,0
-1,12.2,0,1.6,8.4,7,82,0,0
-2.1,12.9,0,1.2,8.1,7,92,0,0
-2,11.3,0.2,2.2,5.9,2,88,0,0
-2.3,9.7,0,1.4,1.9,6,92,0,1
-1.6,10.7,1.4,0.8,9.1,28,74,1,0
0.8,12.2,0,1.8,8.6,19,69,0,0
-2.8,12.2,0,2.6,8.7,0,84,0,0
-2.8,14.1,0,2.2,6.8,0,81,0,0
3,9.7,1,2.6,0.7,19,64,0,1
4.4,11.5,6.6,2.2,9.3,28,67,1,0
2.3,12.8,0,2.2,9.6,4,70,0,0
-2,12.3,0,2.4,5.8,4,81,0,0
-1.9,10.9,0,1.8,4.2,0,78,0,1
4.8,14.1,4,1.6,8.3,30,67,1,0
-0.6,11.1,0,3,5,7,89,0,1
3.1,12.5,1.2,1.4,7.2,6,69,1,0
-2.9,9.6,0,1.8,7.3,6,76,0,0
-3.5,7.6,0.4,2.4,4.7,30,92,0,0
-0.3,9.3,0.4,1.4,9.9,9,72,0,0
0.1,10.4,0,1.8,7.9,22,69,0,0
2.3,12.2,0,2.8,9.8,20,58,0,0
2.1,10.7,0,3.4,9.4,28,59,0,0
4.6,14.7,0,4.4,8.4,28,54,0,0
3.7,14.2,0,3,10,24,52,0,0
-1.3,11.6,0,4,10.4,9,59,0,0
-3.4,12.5,0,3,6.8,7,89,0,0
-5.3,13.1,0,2.2,7.9,4,94,0,0
0,14,0,2.4,4.7,13,60,0,0
2.4,14.1,0,3,1.8,15,50,0,0
-0.6,12.2,0,2.6,7,15,66,0,0
2.3,11.6,0,5.4,9.5,30,49,0,0
-3.7,14.4,0,2.6,10.4,2,64,0,0
-0.9,14.2,0,2.6,7.8,7,82,0,0
-1.5,17.3,0,2.8,9,0,77,0,0
-3.3,15.1,0,3,5,9,57,0,0
-0.1,14.7,0,3.4,9.9,6,60,0,0
-0.2,16.2,0,3.4,5.9,0,74,0,0
0.5,16.3,0,1.8,4.1,4,81,0,1
6.1,17.2,4,2.2,2.4,24,89,1,1
4.1,14.8,7.4,2.6,10.8,20,60,1,0
0.1,16.7,0,3.8,10.2,2,69,0,0
3.2,12.1,0,2.8,3.9,17,69,0,0
5.4,11.3,0.2,2.2,0.6,11,65,0,0
5.8,12.4,0,1.6,0,13,79,0,0
6.3,16.1,0,1.8,2.9,19,63,0,0
-0.9,16.7,0,2.8,8.6,7,84,0,0
0.2,15.5,1,2.4,9.4,0,79,0,0
-3.7,14.7,0,3.4,10.9,9,53,0,0
-2.7,15.2,0,4,9.7,6,62,0,0
-2.5,16.6,0,3,9.9,4,68,0,0
-0.5,21.6,0,5,9.9,9,44,0,0
9,25.5,0,5.6,10.2,20,47,0,1
13.1,19.4,9.8,8.8,6,39,71,1,1
8.7,19.7,1.6,5.2,8,31,63,1,1
3.9,13.2,3.4,6.6,11,26,53,1,0
0.7,14.1,0,5.6,9,6,69,0,0
1.1,18,0,1.6,8.6,2,82,0,0
5.1,23.3,0,3.6,10.3,9,54,0,0
7.5,23.3,0,6.8,10.9,15,46,0,0
4.7,19.5,0,10,11,13,42,0,0
3.2,21.9,0,6.8,5.2,2,51,0,1
7.8,16.2,17.4,6.4,7.9,15,73,1,0
2.4,17.3,0,2.2,11.3,4,67,0,0
3.2,18.7,0,2.6,11.1,4,70,0,0
2.5,20.9,0,3.6,10.6,20,48,0,0
6.5,25.7,0,4.8,10.5,2,62,0,0
14.4,24.3,0,9.4,11.1,31,36,0,0
4.9,18.9,0,9.6,9.4,6,41,0,0
2.3,16.8,0,4.8,11.4,6,52,0,0
1.4,20.6,0,5.4,11.1,6,56,0,0
5.6,27.6,0,5.2,11,15,44,0,0
16.8,28.9,0,10,10.8,31,44,0,1
14.4,20.7,7.6,9.4,4.9,20,94,1,1
10.3,21.3,3,4.2,6.7,7,79,1,0
11.2,18,0,4.8,8.4,24,65,0,1
0.3,16,8.2,5.4,11.8,11,68,1,0
0.5,17.9,0,5.8,11.5,2,72,0,0
0.5,20,0,6.2,11.5,2,69,0,0
4.6,22,0,4.4,11,6,82,0,0
8.2,22.4,0,5.4,11.2,2,70,0,0
4.5,23.9,0,4.8,11.7,4,67,0,0
6.7,26.1,0,6.2,7.5,6,56,0,1
11.9,21.1,13.2,6.6,5,7,82,1,0
9.2,19.6,0.6,3.4,10.4,4,71,0,0
4.4,21,0,4.2,12.2,2,73,0,0
5,24.1,0,6.2,12,0,73,0,0
6.7,24.7,0,5.4,8.6,4,80,0,0
8.3,28.5,0,5.8,9.8,2,66,0,0
11.3,27.4,0.2,7.6,12.1,6,60,0,0
9,20.6,0,9,6.2,11,54,0,0
3.4,15,0.8,4.8,11.7,35,43,0,0
3.2,18,0,7.4,12.2,26,47,0,0
0.9,20.7,0,5.4,8.4,2,71,0,0
3.3,25.5,0,5.2,10.8,4,57,0,0
7.9,26.1,0,6.8,3.5,0,45,0,0
9,30.7,0,7.6,12.1,7,38,0,0
7.1,28.4,0,11.6,12.7,2,45,0,0
12.5,19.9,0,8.4,5.3,11,63,0,0
12.5,26.9,0,5,7.1,6,69,0,0
12.3,30.2,0,6,12.6,31,43,0,0
